Codigo,Nombre,este,norte,area,distrito,comunidad,Provincia,tipo
PUMA-29,ÑANPIQOCHA 01,204689.52,8379878.5,3.51,LIVITACA,C.C. Hualla Hualla,Chumbivilcas,Presa
PUMA-30,PUMA-30,200058.17,8372628.03,3.75,LIVITACA,C.C. Hualla Hualla,Chumbivilcas,Qocha
TEC-03,HUAYLLATANI,281775.34,8317408.05,87.99,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-04,SORACATA,281621.69,8318498.17,12.39,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-05,PATAORQO,281794.26,8314924.47,10.61,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-06,TECLLO,283891.31,8317849.69,118.67,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-07,QUINTANILLA,284842.17,8317516.48,3.07,CONDOROMA,C.C Alccasana,Espinar,Qocha
TEC-08,ANANTA,284823.58,8316473.31,2.81,CONDOROMA,C.C Alccasana,Espinar,Qocha
TEC-09,QAQAHHUASI,285180.02,8316688.25,10.69,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-10,SACSACUCHO,285434.74,8316337.84,2.04,CONDOROMA,C.C Alccasana,Espinar,Qocha
TEC-11,PAYQOTAQOCHA,284705,8314982.28,5.89,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-13,HIRULLANI,285623.91,8315431.8,5.1,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-14,CHIARZANJA,285747.89,8315001.35,11.68,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-15,PARIHUANAQOCHA,286149.2,8315413.6,5.73,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-18,CHOQÑAJOTAQOCHA,287032.23,8316517.23,7.12,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-19,CHAMAQOCHA,287644.13,8316105.98,3.19,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-20,MARCAYLLANI,287941.37,8316171.88,5.1,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-21,OROYPALOMA 01,287048.02,8317785.43,5.86,CONDOROMA,C.C Alccasana,Espinar,Presa
TEC-22,OROYPALOMA 02,287293.29,8317840.06,1.04,CONDOROMA,C.C Alccasana,Espinar,Qocha
TEC-23,UÑUYCHAMA-LACCA LACCA,287557.57,8315859.36,0.79,CONDOROMA,C.C Alccasana,Espinar,Qocha
TINC-01,CHALLHUARIMACHINA,181401.67,8404524.9,4.01,CHAMACA,C.C. Tincurca Laccaya,Chumbivilcas,Presa
TINC-03,LLOQATOTORACHAYOQ 01,181197.85,8406897.65,13.97,CHAMACA,C.C. Tincurca Laccaya,Chumbivilcas,Presa
TINC-04,AZULKANCHA 01,179433.6,8406176.12,7.28,COLQUEMARCA,Asociación Azulkancha,Chumbivilcas,Presa
